osm_id,osm_type,city,lat,lon,name,tourism,wheelchair,name:de,name:en,name:ja_kana,name:ja_rm,KSJ2:ADS,KSJ2:AdminArea,KSJ2:PubFacAdmin,note,note:ja,source,source_ref,wikidata,wikipedia,opening_hours,wikimedia_commons,wikipedia:ja,name:km,addr:block_number,addr:city,addr:neighbourhood,addr:postcode,addr:province,addr:quarter,addr:suburb,fee,name:ja,attraction,amenity,name:ko,level,museum,addr:floor,contact:facebook,contact:instagram,contact:phone,name:ja-Latn,website,name:zh,landuse,official_name,artwork_type,material,operator,playground,playground:theme,check_date,addr:housenumber,addr:street,internet_access,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,payment:qr_code,alt_name,description,smoking,leisure,building,layer,source:ja,building:levels,ele,height,historic,architect,architect:wikidata,operator:type,natural,name:es,phone,barrier,alt_name:en,brand,brand:en,brand:wikidata,operator:wikidata,name:fr,opening_hours:covid19,area,old_name,addr:full,fax,fence_type,advertising,foot,highway,surface,type
2400056868,node,Nagoya,35.1687520,136.9012840,旧名古屋銀行本店,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400060590,node,Nagoya,35.1727972,136.8902827,松島画廊,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400066605,node,Nagoya,35.1768444,136.8872770,AIN SOPH DISPATCH,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400098888,node,Nagoya,35.1693461,136.8905275,ウエストベスギャラリー　コヅカ,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400117369,node,Nagoya,35.1723758,136.8987496,画廊松徳,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400123210,node,Nagoya,35.1714571,136.9012417,STANDING PINE,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400123211,node,Nagoya,35.1715379,136.9008994,YEBISU ART LABO,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400127034,node,Nagoya,35.1709154,136.9005199,N-MARK B1,museum,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400129643,node,Nagoya,35.1699680,136.8983921,ぎゃらり壷中天・mu-jo,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400134510,node,Nagoya,35.1696403,136.9000073,夢画廊,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400134513,node,Nagoya,35.1696613,136.9003150,長者町画廊,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400163927,node,Nagoya,35.1694844,136.9035046,ギャラリー4CATS,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400176369,node,Nagoya,35.1712160,136.9045396,名古屋芸術大学アートスペース　T.A.G.IZUTO,museum,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400188466,node,Nagoya,35.1714147,136.9069999,ガレリア・デ・アルテ,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400188470,node,Nagoya,35.1696426,136.9000472,夢画廊,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400190736,node,Nagoya,35.1687666,136.9102042,名古屋市民ギャラリー栄,gallery,,,Nagoya Citizens' Gallery Sakae,,,,,,,,,,Q100348179,,Tu-Sa 09:30-19:00; Su 9:30-17:00,Category:Nagoya Citizens' Gallery Sakae,,,8,名古屋市,4,,愛知県,栄,中区,,,,,,,,7,https://www.facebook.com/市民ギャラリー栄-518871571457050/,https://www.instagram.com/citizen.gallery.sakae/,+81-52-265-0461,Nagoya Shimin Gyareri Sakae,https://www.bunka758.or.jp/scd18_top.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400190739,node,Nagoya,35.1685160,136.9102058,栄サンシティーギャラリー,museum,,,Sakae Sun City Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400192708,node,Nagoya,35.1699594,136.9117455,フォトサロン　サン・ルゥ,museum,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400195873,node,Nagoya,35.1759688,136.9091268,セントラル・アートギャラリー,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
